InvoiceNo,Channel,Product Name,ProductID,Account,AccountNo,Date,Deadline,Currency,Unit Price,Quantity,Total
1532,Shoppe.com,Cannon Water Bomb Balloons 100 Pack,T&G/CAN-97509,Sales,5004,2020-01-01,11/23/19,USD,20.11,14,281.54
1533,Walcart,LEGO Ninja Turtles Stealth Shell in Pursuit 79102,T&G/LEG-37777,Sales,5004,2020-01-01,06/15/20,USD,6.7,1,6.7
1534,Bullseye,,T&G/PET-14209,Sales,5004,2020-01-01,05/07/20,USD,11.67,5,58.35
1535,Bullseye,Transformers Age of Extinction Generations Deluxe Class Autobot Drift Figure,T&G/TRA-20170,Sales,5004,2020-01-01,12/22/19,USD,13.46,6,80.76
1535,Bullseye,Transformers Age of Extinction Generations Deluxe Class Autobot Drift Figure,T&G/TRA-20170,Sales,5004,2020-01-01,12/22/19,USD,13.46,6,80.76
1537,Bullseye,"3x Anti-Spy Privacy Screen Protector Compatible with iPhone 4 4G iPhone 4S - AT&T, Sprint, Version 16GB 32GB 64GB",CP&A/3X-00445,Sales,5004,2020-01-01,Mon Jan 20 00:00:00 2020,USD,7.39,8,59.12
1538,Understock.com,,S&O/TEX-91494,Sales,5004,2020-01-01,Thu Oct 31 00:00:00 2019,USD,31.36,9,282.24
1539,Walcart,Zen-Ray ED3 8x43 Binoculars,C&P/ZEN-80993,Sales,5004,2020-01-01,6-28-20,USD,28.29,1,28.29
1540,iBay.com,ePartSolution-Samsung Galaxy S4 SPH-L720 USB port Charging Port & Microphone Mic Flex Cable Ribbon Replacement Part USA Seller,CP&A/EPA-01656,Sales,5004,2020-01-01,Thu Jan  2 00:00:00 2020,USD,4.22,3,12.66
1541,Bullseye,Timex Marathon GPS Watch,S&O/TIM-92731,Sales,5004,2020-01-01,Sat Nov 30 00:00:00 2019,USD,10.13,29,293.77
1542,Walcart,"Logisys Red 5 LED Lazer Light, 12V DC Input Voltage",MI/LOG-93214,Sales,5004,2020-01-01,05/25/20,USD,19.49,1,19.49
1543,Walcart,"Magline GMK81UA4 Gemini Sr Convertible Hand Truck, Pneumatic Wheels, 500 lbs Load Capacity, 61"" Height, 55-3/4"" Length x 21"" Width",I&S/MAG-94877,Sales,5004,2020-01-01,05/06/20,USD,18.42,4,73.68
1544,Bullseye,"GoPong Pool Party Barge Floating Beer Pong Table with Cooler, White, 6-Feet",S&O/GOP-86843,Sales,5004,2020-01-01,Sun Apr 19 00:00:00 2020,USD,28.25,11,310.75
1545,Shoppe.com,Rovner V-1R Clarinet Ligature,MI/ROV-54380,Sales,5004,2020-01-01,01/31/20,USD,7.45,4,29.8
1546,Understock.com,EVERMARKET(TM) Premium Anti-spy Privacy Screen Protector for Apple iPhone 5 5S 5C,CP&A/EVE-91701,Sales,5004,2020-01-01,Mon Mar 30 00:00:00 2020,USD,22.55,4,90.2
1547,Walcart,Totally Bamboo 20-8551 3-Tiered Salt Box,K&D/TOT-99233,Sales,5004,2020-01-01,March 14 2020,USD,4.25,1,4.25
1548,iBay.com,,K&D/RES-27315,Sales,5004,2020-01-01,November 29 2019,USD,8.07,5,40.35
1549,iBay.com,Fender 099-4938-000 Stratocaster Switch Tips - Aged White,MI/FEN-83022,Sales,5004,2020-01-01,11/09/19,USD,7.71,55,424.05
1550,Understock.com,Dakota Alert 2500 Wireless Universal Transmitter,C&P/DAK-52449,Sales,5004,2020-01-01,2-23-20,USD,3.17,2,6.34
1551,Walcart,Latin Percussion LP268 Pro Cowbell Beater,MI/LAT-54649,Sales,5004,2020-01-01,10/16/19,USD,7.76,7,54.32
1552,iBay.com,Skylanders Banner Happy Birthday Party Decoration,T&G/SKY-35907,Sales,5004,2020-01-01,1-16-20,USD,4.88,1,4.88
