REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2021/04/01 00:30:00,7012,35.46,TRADE
NSW1,2021/04/01 01:00:00,6815.37,34.21,TRADE
NSW1,2021/04/01 01:30:00,6495.25,32.83,TRADE
NSW1,2021/04/01 02:00:00,6308.43,32.71,TRADE
NSW1,2021/04/01 02:30:00,6179.93,31.87,TRADE
NSW1,2021/04/01 03:00:00,6075.2,31.39,TRADE
NSW1,2021/04/01 03:30:00,6110.07,31.72,TRADE
NSW1,2021/04/01 04:00:00,6177.91,32.74,TRADE
NSW1,2021/04/01 04:30:00,6408.53,37.78,TRADE
NSW1,2021/04/01 05:00:00,6710.08,36.12,TRADE
NSW1,2021/04/01 05:30:00,7105.33,36.06,TRADE
NSW1,2021/04/01 06:00:00,7569.47,41.09,TRADE
NSW1,2021/04/01 06:30:00,7932.95,54.19,TRADE
NSW1,2021/04/01 07:00:00,8112.71,58.92,TRADE
NSW1,2021/04/01 07:30:00,7973.15,39.49,TRADE
NSW1,2021/04/01 08:00:00,7657.94,30.75,TRADE
NSW1,2021/04/01 08:30:00,7410.88,24.83,TRADE
NSW1,2021/04/01 09:00:00,7198.61,21.72,TRADE
NSW1,2021/04/01 09:30:00,7069.51,26.35,TRADE
NSW1,2021/04/01 10:00:00,6942.23,23.22,TRADE
NSW1,2021/04/01 10:30:00,6840.95,23.95,TRADE
NSW1,2021/04/01 11:00:00,6928.17,33.16,TRADE
NSW1,2021/04/01 11:30:00,6924.77,35.26,TRADE
NSW1,2021/04/01 12:00:00,6904.35,34.05,TRADE
NSW1,2021/04/01 12:30:00,6926.54,33.93,TRADE
NSW1,2021/04/01 13:00:00,6961.63,33.91,TRADE
NSW1,2021/04/01 13:30:00,6940.01,34.42,TRADE
NSW1,2021/04/01 14:00:00,6917.12,33.41,TRADE
NSW1,2021/04/01 14:30:00,6978.42,33.05,TRADE
NSW1,2021/04/01 15:00:00,7129.56,33.17,TRADE
NSW1,2021/04/01 15:30:00,7404.24,34.18,TRADE
NSW1,2021/04/01 16:00:00,7617.25,34.25,TRADE
NSW1,2021/04/01 16:30:00,7821.53,34.70,TRADE
NSW1,2021/04/01 17:00:00,8121.8,45.59,TRADE
