Time,Employed,UnemploymentRate
Feb-1978,5892.7,7.5
Mar-1978,5945.8,6.6
Apr-1978,5958.8,6.3
May-1978,5949.3,6.3
Jun-1978,5941.3,6.2
Jul-1978,5947.3,6.0
Aug-1978,5918.4,6.3
Sep-1978,5938.6,6.1
Oct-1978,5957.1,5.8
Nov-1978,5945.3,5.9
Dec-1978,6036.0,6.8
Jan-1979,5886.8,7.1
Feb-1979,5972.8,7.1
Mar-1979,6017.1,6.6
Apr-1979,6005.6,6.5
May-1979,5995.5,6.2
Jun-1979,6010.6,6.1
Jul-1979,6017.9,6.0
Aug-1979,5993.8,5.9
Sep-1979,6070.4,6.2
Oct-1979,6074.0,6.0
Nov-1979,6099.7,5.6
Dec-1979,6167.0,6.5
Jan-1980,6027.2,6.8
Feb-1980,6123.4,6.8
Mar-1980,6192.3,6.3
Apr-1980,6139.8,6.2
May-1980,6186.8,6.3
Jun-1980,6180.3,6.2
Jul-1980,6221.3,5.8
Aug-1980,6191.5,6.0
Sep-1980,6269.0,6.1
Oct-1980,6227.8,5.7
Nov-1980,6252.0,5.4
Dec-1980,6335.4,6.4
Jan-1981,6169.2,6.5
Feb-1981,6270.5,6.4
Mar-1981,6334.1,6.1
Apr-1981,6335.9,5.6
May-1981,6324.6,5.6
Jun-1981,6328.5,5.3
Jul-1981,6337.7,5.6
Aug-1981,6308.5,5.7
Sep-1981,6416.7,5.8
Oct-1981,6362.5,5.5
Nov-1981,6351.9,5.6
Dec-1981,6425.2,6.4
Jan-1982,6278.9,6.6
Feb-1982,6352.5,7.1
Mar-1982,6418.5,6.7
Apr-1982,6353.9,6.5
May-1982,6363.5,6.6
Jun-1982,6334.1,6.6
Jul-1982,6345.0,6.7
Aug-1982,6300.4,6.8
Sep-1982,6363.2,7.4
Oct-1982,6332.3,7.9
Nov-1982,6284.6,8.1
Dec-1982,6285.2,9.7
Jan-1983,6095.4,10.2
Feb-1983,6186.4,10.8
Mar-1983,6230.4,10.5
Apr-1983,6173.9,10.3
May-1983,6196.0,10.4
Jun-1983,6184.0,10.1
Jul-1983,6219.1,9.9
Aug-1983,6169.4,10.0
Sep-1983,6277.2,10.3
Oct-1983,6256.8,9.4
Nov-1983,6299.4,9.0
Dec-1983,6379.2,9.7
Jan-1984,6180.5,10.4
Feb-1984,6289.0,10.5
Mar-1984,6419.9,9.8
Apr-1984,6394.9,9.5
May-1984,6410.8,9.0
Jun-1984,6416.5,9.0
Jul-1984,6447.6,8.4
Aug-1984,6384.8,8.6
Sep-1984,6496.9,8.7
Oct-1984,6469.9,8.2
Nov-1984,6494.9,8.1
Dec-1984,6554.0,8.7
Jan-1985,6379.2,9.3
Feb-1985,6518.9,9.4
Mar-1985,6574.3,9.3
Apr-1985,6509.2,8.6
May-1985,6576.2,8.5
Jun-1985,6578.7,8.4
Jul-1985,6618.7,7.9
Aug-1985,6598.0,8.0
Sep-1985,6727.5,8.0
Oct-1985,6687.6,7.4
Nov-1985,6797.6,7.4
Dec-1985,6830.5,7.9
Jan-1986,6674.2,8.5
Feb-1986,6781.5,8.9
Mar-1986,6875.7,8.5
Apr-1986,6905.6,8.1
May-1986,6895.8,7.9
Jun-1986,6922.2,7.5
Jul-1986,6904.6,7.9
Aug-1986,6840.4,8.0
Sep-1986,6957.1,8.3
Oct-1986,6946.2,7.8
Nov-1986,6949.8,7.7
Dec-1986,7034.4,8.5
Jan-1987,6822.3,8.9
Feb-1987,6937.0,9.2
Mar-1987,7043.4,9.1
Apr-1987,7017.9,8.5
May-1987,7018.5,8.3
Jun-1987,7041.6,7.9
Jul-1987,7083.0,7.9
Aug-1987,7004.2,7.9
Sep-1987,7090.3,7.8
Oct-1987,7085.2,7.6
Nov-1987,7081.6,7.4
Dec-1987,7234.2,7.9
Jan-1988,7077.3,8.3
Feb-1988,7156.5,8.2
Mar-1988,7292.6,8.1
Apr-1988,7282.6,8.1
May-1988,7262.2,7.5
Jun-1988,7283.2,7.2
Jul-1988,7290.1,6.6
Aug-1988,7263.4,6.9
Sep-1988,7406.0,7.0
Oct-1988,7377.8,6.4
Nov-1988,7412.6,6.2
Dec-1988,7522.1,6.9
Jan-1989,7335.0,7.5
Feb-1989,7477.4,7.4
Mar-1989,7545.8,6.7
Apr-1989,7588.6,6.3
May-1989,7625.4,6.3
Jun-1989,7615.9,5.9
Jul-1989,7643.0,5.9
Aug-1989,7625.9,5.8
Sep-1989,7745.7,6.1
Oct-1989,7707.7,5.6
Nov-1989,7764.2,5.4
Dec-1989,7837.3,6.0
Jan-1990,7620.9,6.7
Feb-1990,7711.2,7.1
Mar-1990,7780.1,6.6
Apr-1990,7788.6,6.4
May-1990,7810.1,6.5
Jun-1990,7797.6,6.5
Jul-1990,7815.8,6.7
Aug-1990,7715.6,7.0
Sep-1990,7801.4,7.4
Oct-1990,7743.3,7.2
Nov-1990,7722.3,7.5
Dec-1990,7811.1,8.2
Jan-1991,7542.2,9.2
Feb-1991,7611.1,9.6
Mar-1991,7614.3,9.7
Apr-1991,7612.8,10.0
May-1991,7603.7,9.6
Jun-1991,7577.5,9.1
Jul-1991,7490.4,9.6
Aug-1991,7520.5,9.6
Sep-1991,7607.5,10.1
Oct-1991,7540.4,9.5
Nov-1991,7512.8,9.7
Dec-1991,7612.3,10.6
Jan-1992,7420.0,11.3
Feb-1992,7496.9,11.6
Mar-1992,7544.3,11.0
Apr-1992,7542.0,10.6
May-1992,7527.0,10.7
Jun-1992,7532.3,10.6
Jul-1992,7559.5,10.7
Aug-1992,7510.0,10.5
Sep-1992,7605.6,10.7
Oct-1992,7563.3,10.5
Nov-1992,7489.8,10.6
Dec-1992,7601.2,11.3
Jan-1993,7447.6,11.8
Feb-1993,7448.5,12.2
Mar-1993,7554.0,11.4
Apr-1993,7483.7,10.9
May-1993,7530.1,10.8
Jun-1993,7532.5,10.8
Jul-1993,7549.9,10.5
Aug-1993,7492.8,10.8
Sep-1993,7644.5,10.8
Oct-1993,7640.6,10.4
Nov-1993,7640.3,10.4
Dec-1993,7734.7,10.8
Jan-1994,7546.2,11.5
Feb-1994,7635.9,11.6
Mar-1994,7717.7,10.9
Apr-1994,7718.8,10.2
May-1994,7749.9,9.8
Jun-1994,7766.2,9.6
Jul-1994,7854.1,9.2
Aug-1994,7755.2,9.3
Sep-1994,7943.9,9.4
Oct-1994,7889.4,8.7
Nov-1994,7889.5,8.7
Dec-1994,8020.1,9.0
Jan-1995,7817.0,9.6
Feb-1995,7935.7,9.9
Mar-1995,8000.5,9.1
Apr-1995,8054.5,8.4
May-1995,8048.3,8.5
Jun-1995,8086.3,8.2
Jul-1995,8104.9,8.0
Aug-1995,8054.7,8.2
Sep-1995,8183.3,8.4
Oct-1995,8117.7,8.2
Nov-1995,8182.7,8.1
Dec-1995,8276.0,8.2
Jan-1996,8052.9,9.2
Feb-1996,8129.8,9.3
Mar-1996,8165.4,8.9
Apr-1996,8128.1,8.8
May-1996,8173.5,8.5
Jun-1996,8185.1,8.1
Jul-1996,8208.6,8.1
Aug-1996,8145.7,8.6
Sep-1996,8249.5,8.7
Oct-1996,8203.0,8.4
Nov-1996,8194.3,8.1
Dec-1996,8311.8,8.6
Jan-1997,8118.2,9.3
Feb-1997,8171.7,9.8
Mar-1997,8221.1,9.1
Apr-1997,8220.4,8.7
May-1997,8202.1,8.6
Jun-1997,8217.3,8.2
Jul-1997,8247.4,8.1
Aug-1997,8123.2,8.4
Sep-1997,8334.7,8.2
Oct-1997,8272.3,7.7
Nov-1997,8318.5,7.6
Dec-1997,8398.4,7.9
Jan-1998,8204.3,8.6
Feb-1998,8279.0,8.7
Mar-1998,8321.8,8.3
Apr-1998,8359.6,7.7
May-1998,8351.5,7.8
Jun-1998,8379.1,7.7
Jul-1998,8402.8,7.5
Aug-1998,8327.2,7.6
Sep-1998,8517.5,7.7
Oct-1998,8473.5,7.0
Nov-1998,8426.7,7.3
Dec-1998,8564.3,7.1
Jan-1999,8349.0,7.8
Feb-1999,8428.4,8.0
Mar-1999,8488.4,7.4
Apr-1999,8502.8,7.1
May-1999,8477.4,7.1
Jun-1999,8536.5,6.6
Jul-1999,8578.9,6.3
Aug-1999,8477.3,6.8
Sep-1999,8640.3,7.2
Oct-1999,8614.9,6.5
Nov-1999,8623.8,6.1
Dec-1999,8759.4,6.7
Jan-2000,8496.2,7.3
Feb-2000,8611.0,7.5
Mar-2000,8682.6,7.0
Apr-2000,8741.0,6.5
May-2000,8723.8,6.5
Jun-2000,8783.8,6.0
