Month,Turnover
1982 Apr,85.4
1982 May,84.8
1982 Jun,80.7
1982 Jul,82.4
1982 Aug,80.7
1982 Sep,82.1
1982 Oct,87.3
1982 Nov,87.4
1982 Dec,97.2
1983 Jan,93
1983 Feb,85.1
1983 Mar,83.7
1983 Apr,79.7
1983 May,81.1
1983 Jun,79.7
1983 Jul,84.7
1983 Aug,85.2
1983 Sep,84.3
1983 Oct,80.1
1983 Nov,82.9
1983 Dec,89.6
1984 Jan,97.6
1984 Feb,90.3
1984 Mar,94.6
1984 Apr,88.9
1984 May,92.8
1984 Jun,87.3
1984 Jul,88.7
1984 Aug,90.3
1984 Sep,89.2
1984 Oct,96.7
1984 Nov,97.8
1984 Dec,104.6
1985 Jan,99.8
1985 Feb,87
1985 Mar,93.6
1985 Apr,94.3
1985 May,96.3
1985 Jun,92.2
1985 Jul,96.7
1985 Aug,100.2
1985 Sep,100.2
1985 Oct,106.6
1985 Nov,112.9
1985 Dec,121.5
1986 Jan,111.2
1986 Feb,97.8
1986 Mar,105.3
1986 Apr,109.2
1986 May,112.8
1986 Jun,106.1
1986 Jul,106.3
1986 Aug,110.9
1986 Sep,108.3
1986 Oct,114.2
1986 Nov,118.4
1986 Dec,135.6
1987 Jan,118.6
1987 Feb,110.2
1987 Mar,111.2
1987 Apr,112.2
1987 May,112.2
1987 Jun,110.4
1987 Jul,122
1987 Aug,120.3
1987 Sep,122.8
1987 Oct,124.1
1987 Nov,125
1987 Dec,135.4
1988 Jan,132.3
1988 Feb,121.1
1988 Mar,129.5
1988 Apr,124.3
1988 May,126.5
1988 Jun,123.5
1988 Jul,125.6
1988 Aug,124.8
1988 Sep,121.7
1988 Oct,125.8
1988 Nov,126.2
1988 Dec,136.1
1989 Jan,134.1
1989 Feb,118.9
1989 Mar,125
1989 Apr,120.7
1989 May,123.5
1989 Jun,133.6
1989 Jul,133.7
1989 Aug,137.1
1989 Sep,136.5
1989 Oct,143.5
1989 Nov,146.4
1989 Dec,161.8
1990 Jan,169.4
1990 Feb,148.7
1990 Mar,157.4
1990 Apr,157.2
1990 May,157.4
1990 Jun,155
1990 Jul,152.9
1990 Aug,155.9
1990 Sep,134.9
1990 Oct,147.2
1990 Nov,147.3
1990 Dec,164.5
1991 Jan,153.3
1991 Feb,136
1991 Mar,145.9
1991 Apr,146.7
1991 May,144.1
1991 Jun,142.4
1991 Jul,145.2
1991 Aug,149.4
1991 Sep,143.5
1991 Oct,152
1991 Nov,152.8
1991 Dec,167.9
1992 Jan,166.9
1992 Feb,153.4
1992 Mar,167.4
1992 Apr,161.5
1992 May,162.1
1992 Jun,150.2
1992 Jul,145.5
1992 Aug,145.1
1992 Sep,147.4
1992 Oct,152.5
1992 Nov,150.9
1992 Dec,156.3
1993 Jan,144.8
1993 Feb,128.4
1993 Mar,121.7
1993 Apr,131.1
1993 May,123.3
1993 Jun,129.9
1993 Jul,135.8
1993 Aug,140.4
1993 Sep,146.6
1993 Oct,155.6
1993 Nov,156.4
1993 Dec,163.6
1994 Jan,177
1994 Feb,147.2
1994 Mar,170.7
1994 Apr,147.3
1994 May,148.7
