srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
63,2013-05-23 11:56:25,14,100,,,219,104517,4,4.0,1,4.16,0.2534,5.3,15,69.87,1,8192,4,25,3,0,1,0,,1937.85,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
90,2013-04-23 11:12:24,14,100,,,219,104517,4,4.0,1,4.16,0.2534,5.29,6,97.49,1,8192,2,44,1,0,1,1,,1208.63,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
133,2013-03-14 11:27:28,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,29,206.0,1,8192,3,99,1,0,1,1,,397.74,1,,,,-1.0,0.0,2.0,-1.0,0.0,2.0,,,,-1.0,0.0,2.0,,,,,,,0.0,0.0,,0,,0
148,2013-03-21 02:24:03,10,4,,,219,104517,4,4.0,1,4.16,0.2534,5.29,33,127.71,1,8192,4,227,1,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
203,2013-01-03 20:48:24,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,6,186.0,1,8192,3,6,2,0,1,0,,222.13,0,,,,1.0,0.0,14.0,0.0,0.0,20.0,,,,,1.0,,,,,,,,1.0,0.0,14.0,0,,0
375,2013-01-19 16:51:27,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,4,61.0,1,8192,1,1,3,0,1,0,,236.99,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
712,2013-01-26 11:34:23,5,219,,,219,104517,4,4.0,1,4.16,,5.29,6,72.0,1,965,3,116,3,1,1,0,,1914.52,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
751,2013-04-29 09:39:50,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.3,22,246.0,1,8192,2,245,2,0,1,0,,598.08,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
803,2013-03-25 19:43:44,5,219,,,219,104517,4,4.0,1,4.16,0.2534,5.29,3,52.0,1,8192,1,7,2,0,1,0,,223.82,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
932,2013-01-02 22:01:57,32,220,4.0,246.15,219,104517,4,4.0,1,4.16,0.2534,5.29,19,84.04,1,8192,4,104,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
